,shopname,description,web,adress,district,neighbourhood,location,type,timetable,photo,product_list,phone
1122,Xoc'Olive,"Alimentació ecològica, de proximitat, molta part a granel. Productes substitutius del plàstic (canyetes, raspalls de dents,...). Alimentació envasada en pots de vidre, xocolata, productes de coco i cafè de comerç just. Bosses de paper, cotó i roba.",https://www.xocolive.com,"Muntaner, 396",Sarrià - Sant Gervasi,Sant Gervasi - Galvany,"('41,40010060', '2,14189120')",local food,,,,
1203,Granoleta,"Granoleta neix com una botiga amb un concepte diferent als supermercats habituals.<br />
<br />
<br />
Oferim fruits secs, productes deshidratats, farines, mels, conserves, llegums i pastes amb el certificat ecològic. Alguns productes de proximitat, com les farines de roca fariners, arrossos del delta i ous de proximitat i ecològics. A més, el proveidor de certs productes és ""Cal Valls"", un proveidor de proximitat.<br />
<br />
A Granoleta el client@ pot comprar la quantitat que necessiti, evitant així el malbaratament innecessari i a més té la informació sobre els productes que compra i els seus beneficis. Gràcies a la compra a granel s'evita la generació d'envasos de plàstic d'un sol ús i d'altres embolcalls. Els envasos son de paper, i si el client porta el seu envàs fan un 5% de descompte.<br />
Us convidem a contribuir a aquesta reducció de residus, animant-vos a venir a Granoleta amb els vostres envasos i a reutilitzar-los.<br />
<br />
Granoleta col·labora amb la fundació <a href=""https://www.plant-for-the-planet.org/en/home"" target=""_blank"">Plant for the planet</a> que té com a objectiu sensibilitzar els nens i els adults sobre els problemes del canvi climàtic i la justícia global. Plant-for-the-planet treballa en la reforestació no només com una acció pràctica i simbòlica, sinó també com una actuació per reduir l'efecte del canvi climàtic.    ",http://www.granoleta.es/index.html,"Carrer de les Açores, 8, local 1",Sant Andreu,La Sagrera,"('41,42510180', '2,18943880')",vegan food,,,,
1297,Llegums calderé,"Venta de llegums cuits, llegums crus i fruits secs a granel. El producte que venen és de proximitat.",,"Carrer de Sant Adrià, 20",Sant Andreu,Sant Andreu,"('41,43368810', '2,19163040')",restaurant,,,,
1298,Rosa Tous,"Estilista amb venda de tints, mascaretes i xampús orgànics. Tenen gama de productes no testats en animals.",https://rosa-tous-estilista-unisex.negocio.site/,"Carrer de Rubén Darío, 36",Sant Andreu,Sant Andreu,"('41,43424470', '2,18801390')",restaurant,,,,
1299,Biopassió,"Alimentació ecològica a granel i envasada. Tenen certs productes de proximitat (llegums, farines, cereals, mels) i d'altres més llunyans, com les espècies o els tès. <br />
Per als productes a granel utilitzen envàs de paper.",http://www.biopassio.com/,"Carrer de Pons i Gallarza, 4",Sant Andreu,Sant Andreu,"('41,43541720', '2,18926220')",vegan food,,,,
1300,El més natural,"Productes d'alimentació, dietètica, cosmètica i higiene personal ecològics. Alguns dels seus productes son de proximitat, com la mel i les herbes. <br />
Les bosses que ofereixen són de paper.",https://www.serveisactius.cat/es/barcelones/herboristeria-dietetica-en-sant-andreu,"Carrer Gran de Sant Andreu, 357",Sant Andreu,Sant Andreu,"('41,43833370', '2,18876060')",supermarket,,,,
1301,Biopompas Sant Andreu,"Sabons, tant sòlids com líquids ecològics i a granel. Els sabons sòlids són elaborats a bohí. Els clients poden portar el seu envàs per al sabons líquids o els detergents, a la botiga també venen envasos que són reutilitzables. Les bosses que donen son de tela.",https://biopompas.com/,"Carrer del Mercat, 6",Sant Andreu,Sant Andreu,"('41,43473300', '2,18926660')",beverages,,,,
1302,Granja Armengol,"Tenen productes làctics de tot tipus ecològics i de proximitat: iogurt, llet, formatge.També ous km0 i productes d'hort propi, de temporada. Es poden retornar els envasos de vidre. Descompten 2 cèntims per envàs retornat.",http://www.granjaarmengol.com/,"Carrer de Provença, 493",Eixample,Sagrada Família,"('41,40669190', '2,17724210')",bakery,,,,
1303,km 0 unió,"Botiga de venta directa al consumidor d’Unió, cooperativa catalana que agrupa milers d'agricultors. Venta de vins, tots els vins de proximitat i alguns ecològics. Les bosses que ofereixen són bosses de paper que es poden reutilitzar.",http://www.km0unio.cat/,"Carrer de la Marina, 239",Eixample,Sagrada Família,"('41,40300590', '2,17629960')",alimentation,,,,
1304,Sardà,"Venta de productes gurmet: torrons, vins, xocolates, conserves, fruits secs, a granel; alguns dels productes són ecològics.<br />
Els envasos són de paper; algun client porta envàs reutilitzable",https://www.calsarda.com/ca/,"Carrer de la Marina, 237",Eixample,Sagrada Família,"('41,40281030', '2,17632290')",beverages,,,,
1305,Biodiet,"Alimentació ecològica, suplements nutricionals de procedència nacional, envasos de paper i/o compostables.",https://www.biodiet.es/,"Carrer del Rosselló, 473",Eixample,Sagrada Família,"('41,40700660', '2,17520640')",alimentation,,,,
1306,el rebost de la fruita,"Fruita i verdura ecològica i la majoria de proximitat, les bosses que ofereixen per a la fruita i verdura són compostables.",https://www.qdq.com/el-rebost-de-la-fruita-864606,"Carrer de Padilla, 319",Eixample,Sagrada Família,"('41,40881200', '2,17289360')",others,,,,
1307,Bio Sarrià,"Establiment on es poden trobar productes ecològics i d'altres de proximitat a granel. Amplia gamma de productes de neteja, higiene, alimentació i suplements.",http://www.biosarria.com,"Passatge de Senillosa, 1",Sarrià - Sant Gervasi,Sarrià,"('41,39562460', '2,12532790')",alimentation,,,,
1308,Llegums Cuits Orrit,"Botiga on es poden comprar llegums cuits de diversos tipus, pasta i altres productes a granel. Molts dels productes són de proximitat i també en pots trobar de varietat ecològica.",-,"Carrer de Sant Antoni Maria Claret, 35",Gràcia,Camp d'en Grassot i Gràcia Nova,"('41,40481270', '2,16567930')",bakery,,,,
1309,Nuda Market,"Establiment on es poden trobar tot tipus de productes alimentaris a granel, de proximitat i ecològics. ",-,"Carrer de la Providencia, 64",Gràcia,Vila de Gràcia,"('41,40704880', '2,15765420')",vegan food,,,,
1310,Barnaclip SCP,"Papereria on es venen productes elaborats a partir de paper reciclat (llibretes i agendes amb el certificat de reciclat), treballen amb empreses ""km0"" com Miquelrius o Busquets; recullen cartutxos de tòner per a reciclar i tenen alguns productes recarregables (bolígrafs i retoladors).<br />
<br />
 ",https://empresite.eleconomista.es/BARNA-CLIP.html,"Carrer del Consell de Cent, 468",Eixample,Fort Pienc,"('41,39922690', '2,17684830')",bakery,,,,
1311,Herboristeria Margarida Castaño,"Herboristeria amb productes d'alimentació ecològica, fruits secs, fruita i caramels a granel, productes de neteja ecològica i productes naturals. Bosses biodegradables.",http://hermargarida.webcindario.com/,"Carrer de los Castillejos, 181",Eixample,Fort Pienc,"('41,40208440', '2,18369490')",alimentation,,,,
1312,Supermercat frooty,"Venta de productes a granel i envasats (alimentació, herbodietètica i neteja). El 95% de producte és ecològic, i tot el que és possible és de proximitat (sobretot la fruita i la verdura). Els envasos que ofereixen són de paper i cartró, no tenen plàstic.",https://frooty.es/,"Carrer d'Ausiàs Marc, 113",Eixample,Fort Pienc,"('41,39558590', '2,18103630')",alimentation,,,,
1316,Saüc,"Botiga de roba i complements. <br />
Producte eco (roba i complements ecològics), tot el producte és de km 0, a més, tenen un elevat percentatge de productes amb etiquetatge de comerç just.",https://www.saucbotiga.cat/,"Carrer de Riego, 9",Sants - Montjuïc,Sants,"('41,37585310', '2,13838030')",supermarket,,,,
1317,Homo Sibaris,Celler amb producte ecològic i de km 0 (vinsi cerveses). Cervesa a granel; disposen d'envàs reutilitzable).,http://www.homosibaris.com/,"Plaça d'Osca, 4",Sants - Montjuïc,Sants,"('41,37628290', '2,13882880')",local food,,,,
1318,Kitikate,"Botiga de roba de nadó i complements. <br />
Tot el producte és ecològic (roba de cotó orgànic, tota porta el segell certificat ecològic).",https://kitikate.es/,"Carrer de Joanot Martorell, 2",Sants - Montjuïc,Sants,"('41,37509890', '2,14080290')",others,,,,
1319,Escudero Garcia,"Farmacia amb productes ecològics, com raspalls de dents de bambú i compreses de cotó orgànic.",,"Carrer de Sants, 5",Sants - Montjuïc,Sants,"('41,37517720', '2,14057460')",beverages,,,,
1320,Studio D,"Perruqueria amb productes pel tractament del cabell eco i orgànics, a més, tenen també productes vegans.",http://studiod.es/,"Carrer de Sants, 25",Sants - Montjuïc,Sants,"('41,37519500', '2,13958950')",beverages,,,,
1321,Torrons Viar,"Botiga de gran varietat de torrons artesans i naturals, tot el producte venut és de km0.<br />
 ",http://www.viar.es/,"Carrer d'Olzinelles, 23",Sants - Montjuïc,Sants,"('41,37346900', '2,13660030')",alimentation,,,,
1322,Farmàcia Martos,"Farmacia amb productes de dermocosmètica eco i bio, raspall de dents de bambú, esponges naturals.",,"Carrer d'Olzinelles, 71",Sants - Montjuïc,Sants,"('41,37161280', '2,13726040')",local food,,,,
1323,La botigueta del barri,"<br />
Botiga de carns, embotits, formatges, cremes de verdures i ous ecològics i de proximitat. Les oueres són reutlitzables.",https://la-botigueta-del-barri.negocio.site/,"Carrer de la Riera de Tena, 30",Sants - Montjuïc,Sants,"('41,37146820', '2,13362040')",beverages,,,,
1324,el calaix,"Botiga de complements de roba, tenen productes de km 0 i realitzen tallers de confecció de roba.",https://www.elcalaix.es/,"Carrer de Sant Medir, 19",Sants - Montjuïc,Sants,"('41,37391250', '2,13334130')",beverages,,,,
1325,Ferreteria Badal,"Ferreteria amb productes de baix consum (bombetes, estalviadors d'aigua per a les aixetes), productes a granel (cargols i arandeles) i paelles eco.",,"Carrer dels Jocs Florals, 140",Sants - Montjuïc,Sants,"('41,37150800', '2,13597280')",others,,,,
1326,Patch kukades,"Botiga de complements de roba amb una gran selecció de productes sostenibles:<br />
<br />
Discos desmaquillants eco, compreses de roba, boc'n rolls, bosses de malla per a la fruita, fundes de roba per a llibres, bosses de roba per als paraigues, totebags i cabassos per a la compra, tovalloletes de roba per a bebès i mascaretes de roba. Tot el producte és fet per ells, a més, fan tallers de patchwork.",https://www.instagram.com/kukadesdesign/?hl=es,"Carrer de Sant Medir, 18",Sants - Montjuïc,Sants,"('41,37451670', '2,13276830')",others,,,,
1327,Farmàcia boada,"Farmàcia amb productes eco (complements alimentaris, fitoteràpia); a vegades treballen amb algun laboratori petit de km 0. Tenen punt sigre per a la recollida de medicaments",http://www.farmaciaboada.com/,"Carrer de Sant Medir, 12",Sants - Montjuïc,Sants,"('41,37477130', '2,13284550')",restaurant,,,,
1328,Llet crua,"Botiga de productes làctics ecològics (formatges i llet), mels i formatges de km 0, amb envasos de paper plastificat.",https://www.lletcrua.cat/es/home-espanol/,"Carrer de Càceres, 14",Sants - Montjuïc,Sants,"('41,37495460', '2,13301360')",restaurant,,,,
1329,Molsa,"Botiga alimentaria amb productes eco (begudes, tes, olis essencials, pastes,snacks, llegums), fruita i verdura ecològica i de proximitat.",https://rel.bio/botiga/molsa-bio-sants/,"Carrer de Sant Jordi, 7",Sants - Montjuïc,Sants,"('41,37504000', '2,13390520')",green space,,,,
1330,El Gibrell,"El gibrell és la teva botiga de sabons i detergents a granel ecològics i naturals de Sants, just davant del Mercat Nou.<br />
Què hi trobaras: producte ecològic pel cos, estris i accessoris naturals per a la higiene personal o per a la neteja de la llar, regals originals i ecològics pels amics i esdeveniments,… Tot això i molt més.<br />
Si el que vols son sabons a granel, porta el teu envàs de casa i omple’l amb el producte que més t’agradi. Fer servir envasos reutilitzables redueix la petjada ecològica.<br />
Recorda: Reutilitza, Redueix, Rebutja el plàstic!<br />
<br />
<iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/XrZpI52wW04"" width=""100%""></iframe><br />
<br />
També tenim <a href=""https://www.bcnsostenible.cat/web/punt/el-gibrell-2"" target=""_blank"">botiga a Sant Antoni</a>",https://www.elgibrell.com/,"Carrer de Sant Jordi, 15",Sants - Montjuïc,Sants,"('41,37464840', '2,13392350')",others,,,,
1331,Ecobaires,"Producte ecològic, de km 0, fruites i verdures, productes vegans envasats, amb el certificat ecològic, begudes… Estan intentant que el producte envasat els hi portin en envàs compostable.",https://www.facebook.com/101702697982541/posts/inauguracion-ya-estamos-abiertos-encontranos-en-sants-141-barcelonate-esperamos/127629938723150/,"N-340, 141",Sants - Montjuïc,Sants,"('41,37536360', '2,13334830')",local food,,,,
1332,Diet center,"Productes d'herbodietètica ecològics, productes de neteja ecològics, cosmètics eco, aliments orgànics i productes vegans.",https://herbodieteticadietcenter.es/,"Rambla de Badal, 216",Sants - Montjuïc,Sants,"('41,37561170', '2,13079440')",alimentation,,,,
1333,Farmàcia Damaris,"Farmàcia amb secció de productes eco i bio (suplements i dietètica principalment), tenen punt sigre.",https://www.canalfarmaciaonline.com/farmacia-damaris,"Rambla del Brasil, 14",Sants - Montjuïc,Sants,"('41,37642970', '2,13059830')",alimentation,,,,
1334,Manantial de Salud,"Herbodietètica. La majoria de productes són eco (suplements, herbes), productes de km 0 (mel i plantes de lleida).",https://www.manantial-salud.com/,"Carrer del Vallespir, 82",Sants - Montjuïc,Sants,"('41,38000450', '2,13679810')",local food,,,,
1335,BeSalut,"Herbodietètica, compta amb productes ecològics, cosmètica bio, suplements, una gran part del producte és de proximitat.",,"Carrer de Berlín, 12",Sants - Montjuïc,Sants,"('41,38225530', '2,13748620')",green space,,,,
1336,Bioshop,"Herbolari. Venta de productes eco (mel, galetes, sucres, llegums, alimentació…) Alguna marca de producte de km 0 (de cal valls)",,"Carrer de Nicaragua, 49",Sants - Montjuïc,Sants,"('41,38339080', '2,14094990')",local food,,,,
1337,Real food granel,"Venta de productes a granel (aliment, tes, sabons vegans, productes de neteja, espècies, cafès eco, farines eco), els productes ecològics estan certificats. Fruita i verdura de proximitat.",https://realfoodgranel.es/,"Carrer de Galileu, 175",Sants - Montjuïc,Sants,"('41,38092300', '2,13361020')",local food,,,,
1338,Capità enciam,"Venta de fruita i verdura ecològica, de km0, producte sec a granel i altres productes com begudes eco.",https://capitaenciam.cat/,"Carrer de Galileu, 139",Sants - Montjuïc,Sants,"('41,37983130', '2,13410920')",restaurant,,,,
1340,Farmàcia Marta Monzo,"<br />
Farmàcia amb productes ecològics (suplements, raspall de bambú, fil dental biodegradable). A més, disposen de punt sigre per a la recollida i el tractament de medicaments que esdevenen residus.",,"Carrer del Rector Triadó, 84",Sants - Montjuïc,Hostafrancs,"('41,37821410', '2,14297790')",green space,,,,
1341,Scandinavian,"<br />
Perruqueria a la que treballen amb productes de la marca ""davines"" (productes per al tractament del cabell sostenibles). A més, tota la fusta de la botiga és sostenible.",,"Carrer de Béjar, 73",Sants - Montjuïc,Hostafrancs,"('41,37810140', '2,14416130')",restaurant,,,,
1342,Jubierre,"<br />
Botiga d'alimentació i queviures. Tot el producte que venen es de proximitat , s'hi pot trobar fruita i verdura a granel, formatges, embotits, vins i caves, conserves...",,"Carrer de l'Espanya Industrial, 15",Sants - Montjuïc,Hostafrancs,"('41,37612480', '2,14041380')",others,,,,
1343,fresh km0,"<br />
Botiga de fruita i verdura. Tot el producte que ven es de proximitat (fruita i verdura directa del pagès, sense intermediaris). Dilluns i dijous van als camps del baix llobregat, santa coloma i el prat per a recollir el producte. Producte ecològic i sense intermediaris.",https://www.freshkm0.com/,"Carrer de la Creu Coberta, 78",Sants - Montjuïc,Hostafrancs,"('41,37533590', '2,14423260')",local food,,,,
1344,Bureau Vallée,"<br />
Papereria amb productes ecològics; llibretes i carpesans de paper reciclat, productes ""save the ocean""; els productes d'aquesta marca estan elaborats a partir de plàstic recollit dels oceans i reciclats. ",https://bureau-vallee.es/sants/,"Carrer de la Creu Coberta, 94",Sants - Montjuïc,Hostafrancs,"('41,37538430', '2,14284950')",supermarket,,,,
1345,Sinzero,"Botiga de productes de dermocosmètica ecològics, alguns de laboratoris de proximitat i d'altres no. Bossa de paper reciclat. Es tracta d'una botiga on els productes que venen són residu zero.",https://www.sinzero.es/,"Carrer de la Creu Coberta, 98",Sants - Montjuïc,Hostafrancs,"('41,37537900', '2,14264550')",beverages,,,,
1346,Labperfum,"<br />
Botiga de perfums ecològics a granel. Els envasos per al perfum són reutilitzables, si els clients porten l'envàs tenen 2€ de descompte.",https://labperfum.com/,"Carrer de la Creu Coberta, 116",Sants - Montjuïc,Hostafrancs,"('41,37548630', '2,14150020')",beverages,,,,
1347,Ferreteria Gran Via,"Ferreteria on venen paelles ecològiques, productes de neteja ecològics, productes de baix consum (bombetes i estalvi d'aigua), productes a granel (cargols) i pintures ecològiques.",https://valomix.com/,"Gran Via de les Corts Catalanes, 283",Sants - Montjuïc,Hostafrancs,"('41,37161110', '2,14421620')",others,,,,
1348,Santiveri,"Herbodietètica amb productes ecològics (suplements), alguns productes són de km0 (mels i melmelades).",https://www.santiveri.com/es/home,"Carrer de Sant Roc, 2",Sants - Montjuïc,Hostafrancs,"('41,37324010', '2,14610470')",alimentation,,,,
1349,Celler Hostafrancs,"Celler amb productes ecològics (vins, caves, olis, conserves). Els vins i els caves són de km0. Es ven producte a granel amb envàs reutilitzable.",,"Carrer de Sant Roc, 22",Sants - Montjuïc,Hostafrancs,"('41,37440310', '2,14556280')",beverages,,,,
1350,Ferreteria Leo,"Ferreteria amb productes de baix consum (bombetes led i estalviadors d'aigua), pintures eco, productes a granel (cargols i arandeles principalment).",https://ferreterias.cadena88.com/,"Carrer del Moianès, 49",Sants - Montjuïc,Hostafrancs,"('41,37308840', '2,14228140')",restaurant,,,,
1351,La Dietètica,Herbodietètica on disposen de productes ecològics i biològics (sobretot suplements alimentaris).,https://www.ladieteticabarcelona.com/,"Carrer de la Creu Coberta, 127",Sants - Montjuïc,Hostafrancs,"('41,37513390', '2,14170600')",local food,,,,
1352,Restory,"Botiga de venta de llibres de segona mà, les estanteries on disposen els llibres estan fetes a partir de ferro reciclat.",www.restory.es,"Carrer del Comte Borrell, 133",Eixample,Sant Antoni,"('41,38091980', '2,15776180')",bakery,,,,
1353,El Gibrell,"Botiga de venta de productes d'higiene personal i higiene de la llar eco i naturals. Productes de comerç just (carité, cremes, bosses, mascaretes de cabell), productes residu 0 (sabons al tall, xampús a granel, xampus naturals, pasta de dents solida i compreses de roba). Envas de detergent a granel retornable i reutilitzable. Fer servir envasos reutilitzables amb els detergents redueix la petjada ecològica.<br />
<br />
<iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/XrZpI52wW04"" width=""100%""></iframe><br />
<br />
També tenim <a href=""https://www.bcnsostenible.cat/web/punt/el-gibrell-1"" target=""_blank"">botiga a Sants</a>",https://www.elgibrell.com/es/inicio/,"Carrer de Manso, 60",Eixample,Sant Antoni,"('41,37749610', '2,16192790')",alimentation,,,,
1354,Amantis Sant Antoni,"<br />
Botiga eròtica. Venta de lubricants i cosmètica eròtica ecològica. Programa ""vibronove"" (porta el teu producte que contingui peces electròniques i et fem un descompte de 8€ en la propera compra).",https://www.amantis.net/tienda/,,,,"('0,00000000', '0,00000000')",beverages,,,,
1355,Macrobiótica Ayurveda BCN,"<br />
Herbodietètica amb venta de productes d'alimentació i dietètica naturals i ecològics, vegans. El proveidor dels seus productes es ""vegetalia"", proveidor de productes ecològics.",,"Carrer de Vilamarí, 26",Eixample,Sant Antoni,"('41,37639400', '2,15291930')",local food,,,,
1356,Els sortidors del parlament,"<br />
Celler - bodega amb venta de productes a granel (sangria i vermut), vins catalans (montsant, priorat, costes segre, penedès), productes eco i bio (vins), cerveses artesanes… Disposen de sifó retornable.",http://www.elssortidors.com/,"Carrer del Parlament, 53",Eixample,Sant Antoni,"('41,37765870', '2,16369340')",others,,,,
1357,Alfambra,Fotocòpies en paper reciclat.,https://www.alfambra.cat/,"Carrer de l'Alfambra, 16",Les Corts,Pedralbes,"('41,38668280', '2,11269360')",alimentation,,,,
1358,Locos por la fruta,"<br />
Fruiteria dividida en dues zones: una de les seccions consta de productes certificats ecològics.",,"Carrer del Capità Arenas, 15",Les Corts,Pedralbes,"('41,39036330', '2,12592730')",bakery,,,,
1359,Forn fortino,"Forn de pa on elaboren el producte amb farina d'espelta ecològica, es tracta d'un forn tradicional, on es poden trobar també productes a granel (galetes). ",,"Travessera de Gràcia, 126",Gràcia,Vila de Gràcia,"('41,40014930', '2,15606880')",green space,,,,
1360,Al Gra,"Botiga on s'hi pot trobar venta a granel de cereals, arròs, llegums, fruits secs... Tot el producte compta amb certificat ecològic.",,"Carrer de Sant Cristòfol, 21",Gràcia,Vila de Gràcia,"('41,39960380', '2,15415430')",alimentation,,,,
1361,El Cau,"<br />
Alimentació ecològica a granel, de proximitat. Són cooperativa. A aquest comerç es reutilitzen tot tipus d'envasos i es fomenta la pràctica amb els clients (bosses de plastic, oueres, pots de vidre,...).",,"Carrer del Torrent de l'Olla, 51",Gràcia,Vila de Gràcia,"('41,40028750', '2,15936560')",bakery,,,,
1362,El Cau,"<br />
Alimentació ecològica a granel, de proximitat. Són cooperativa. A aquest comerç es reutilitzen tot tipus d'envasos i fomenten la pràctica amb els clients (bosses de plastic, oueres, pots de vidre,...).",,"Carrer de Torrijos, 16",Gràcia,Vila de Gràcia,"('41,40280280', '2,15952500')",vegan food,,,,
1363,L'Ecoteca,"<br />
Productes d'alimentació ecològics, de proximitat. Productes de neteja a granel, disposen de bosses de compra a granel, cantimplores, kombutxa i aigua en envasos retornables.",,"Carrer de la Providència, 20",Gràcia,Vila de Gràcia,"('41,40604140', '2,15614070')",supermarket,,,,
1364,Sol Nature,"<br />
Productes de dietètica, amb certificat ecològic; herbes a granel, fruita i verdura ecològica i de km0.",,"Plaça de la Llibertat, 13",Gràcia,Vila de Gràcia,"('41,40004320', '2,15310140')",vegan food,,,,
1365,Molsa Biosí aliments ecològics,"<br />
Comerç que disposa d'alimentació ecològica amb certificat i amb una part de venda a granel.",,"Carrer de Ramón y Cajal, 42",Gràcia,Vila de Gràcia,"('41,40269400', '2,15879440')",supermarket,,,,
1366,Vegetart,"<br />
Venta de menjar vegà amb farines, soja i cereals ecològiques per emportar, els tuppers es reutilitzen i accepta tuppers de la gent.",,"Carrer del Torrent de l'Olla, 138",Gràcia,Vila de Gràcia,"('41,40284170', '2,15646710')",restaurant,,,,
1367,Verema i Collita,"<br />
Vins a granel, alguns ecològic. Sifó, Vichy, Coca-cola, Schweppes, cervesa",,"Plaça d'En Joanic, 7",Gràcia,Vila de Gràcia,"('41,40544430', '2,16214380')",beverages,,,,
1368,La Marieta,"<br />
Comsmètica i complementació natural i ecològica. ",,"Carrer de Verdi, 75",Gràcia,Vila de Gràcia,"('41,40499270', '2,15555160')",local food,,,,
1369,Natural Mediterrani,"<br />
Cosmetica natural i ecològica, augmentant l'oferta a granel i preparen regals residu zero. ",,"Carrer d'Astúries, 33",Gràcia,Vila de Gràcia,"('41,40330810', '2,15414990')",others,,,,
1370,Tresors de Tanit,"<br />
cosmètica natural i amb certificat ecològic",,"Carrer d'Astúries, 65",Gràcia,Vila de Gràcia,"('41,40421010', '2,15543370')",local food,,,,
1371,Labperfum,"<br />
venda de perfums a granel amb reutilització de l'envàs",,"Carrer d'Astúries, 52",Gràcia,Vila de Gràcia,"('41,40379230', '2,15525020')",supermarket,,,,
1372,La Baldufa,"Roba de nen petit,alguna de 2a mà i alguna de cotó orgànic certificat. Boc&rolls i bolquers de roba.",,"Carrer del Cigne, 12",Gràcia,Vila de Gràcia,"('41,40061230', '2,15379200')",supermarket,,,,
1373,Gust d'hort,"<br />
Botiga de fruites i verdures, collita pròpia sense pesticides, i altres productes tots de Tarragona o Lleida.",,"Plaça de la Vila de Gràcia, 19",Gràcia,Vila de Gràcia,"('41,39995700', '2,15747530')",others,,,,
1374,Granja Armengol,"<br />
Venta de productes làctics directes de granja pròpia de Gurb.",,"Carrer de Puigmartí, 40",Gràcia,Vila de Gràcia,"('41,40209330', '2,16035430')",green space,,,,
1375,Costa Codina,"<br />
Farmàcia amb cosmètica ecològica (arko pharma), compreses i tampons de cotó orgànic, copa menstrual i vaixella de fibra de bambú per a bebès. Raspall de dents de bambú i pastes de dents veganes.",https://www.farmaciacostacodina.com/,"Gran Via de les Corts Catalanes, 568",Eixample,Sant Antoni,"('41,38408210', '2,16160970')",beverages,,,,
1376,Farmàcia Martínez,"<br />
Cosmètica ecològica, compreses i tampons de cotó orgànic, copa menstrual, raspalls de dents de bambú",,"Gran Via de les Corts Catalanes, 560",Eixample,Sant Antoni,"('41,38346920', '2,16079440')",alimentation,,,,
1377,Forn Iglesias,"<br />
Forn on el producte es fa amb pa de farines ecològiques.",,"Gran Via de les Corts Catalanes, 464",Eixample,Sant Antoni,"('41,37928750', '2,15526660')",alimentation,,,,
1418,Larrara Market,"Larrara Market va ser creada a partir d'una idea revolucionària. Una idea rara de trobar en el mercat: sense gluten (apte per a celíacs), vegà/vegetarià, low waste (productes a granel), ecològic, de proximitat. Volem donar suport a la sostenibilitat aportant el nostre gra de sorra, fent bé les coses des del principi. Cal començar a conscienciar-nos que hi ha alguna cosa que està fallant, i aquesta cosa som nosaltres i els nostres hàbits alimentaris. Estem encantades de poder treballar amb empreses que se sumen a la causa i volen ser diferents, rares com nosaltres!",www.larraramarket.cat,"Plaça Revolució de Setembre 1868, 16",Gràcia,Vila de Gràcia,"('41,40244860', '2,15809000')",alimentation,,,,
1471,Granel Poblenou,"GRANEL POBLENOU promou la compra responsable, el consum sostenible, la reutilització i la reducció de residus a través de la venda d’alimentació ecològica i de proximitat a granel. La inmensa majoria de productes es venen a granel, en bosses de paper, i s'incentiva als clients i clientes amb un  descompte si porten els seus envasos de casa. <br />
<br />
Hi trobaràs bons consells i productes per una alimentació saludable i conscient, responent a necessitats reals de consum: pasta, arrossos, farines, llegums, fruits secs, cereals, cafès i tes, espècies, deshidratats, herbes… i seguint amb la filosofia zero-waste també hi trobaràs productes per la higiene personal i la neteja de la llar.<br />
 ",https://granel.cat/ca/shop/granel-poblenou/,"Rambla del Poblenou, 117",Sant Martí,El Poblenou,"('41,40355220', '2,19770580')",vegan food,,,,
1472,La Eco Tribu,"A La Ecotribu trobaràs productes de neteja, higiene personal, cosmética i llar respectuosos amb el medi ambient i amb les persones. Venem productes sense tóxics, la majoria amb certificació ecológica, en envasos biodegradables, reutilitzables o retornables, i molts dels nostres productes es venen a granel. A més, tots estàn fabricats de manera ética i prioritzem la proximitat.",https://www.laecotribu.com/,"Carrer de Laforja, 79",Sarrià - Sant Gervasi,Sant Gervasi - Galvany,"('41,39611880', '2,14489180')",others,,,,
1534,Abans morta que senzilla,"La roba i complements que tenim ens distingeix pel seu disseny i qualitat. Articles reconeguts com a ètics, sostenibles i proximitat!. Vesteix amb teixits de cotó, suaus i textures càlides amb un estil natural i elegant tot afavorint la sostenibilitat del nostre planeta.",,"Carrer de l'Ajuntament, 22",Sant Andreu,Sant Andreu,"('41,43562710', '2,19014640')",beverages,,,,
1535,Organic Lab Inc,"ORGANIC LAB INC neix de la necessitat de tenir cura del medi ambient mentre ens cuidem i és el lloc perfecte per gaudir d’una experiència única. Visita la nostra botiga i explora la nostra gamma d’articles de bellesa i cura personal. Esperem veure’t aviat per Organic Lab Inc!<br />
<br />
A Organic Lab Inc trobaràs productes naturals i vegans, que et permetran reduir els teus residus tant en toxicitat com en quantitat.",https://www.organiclabinc.com/,"Carrer de Coroleu, 2",Sant Andreu,Sant Andreu,"('41,43275420', '2,18910950')",vegan food,,,,
1554,Casa Donoso Gourmet,"Botiga d'alimentació on es poden trobar productes d'alta qualitat respectuosos amb el medi ambient.<br />
A Casa Donoso hi trobes productes de comerç just, elaboracions de cuina d'aprofitament i prevenció del malbaratament alimentari, vins a granel en envasos reutilitzables, opcions veganes i ecològiques i producte nacional.",https://www.casadonoso.es/,"Carrer de Malats, 46",Sant Andreu,Sant Andreu,"('41,43625080', '2,18841350')",restaurant,,,,
1555,Graneria Torras,"Comerç d'alimentació on es pot adquirir tot tipus de producte d'alimentació a granel (llegum sec, cereals, oli, mel, tes, espècies, etc), i altres envasats amb certificació ecològica.",,"Carrer de Joan Torras, 44",Sant Andreu,Sant Andreu,"('41,43767020', '2,19318710')",others,,,,
